team,opponent,year,round,match_date,result,home_away,venue,crowd,score,margin
West Coast Eagles,Gold Coast Suns,2022,1,2022-03-20,L,H,Optus Stadium,20932.0,,-27
Carlton Blues,Western Bulldogs,2022,2,2022-03-24,W,A,Marvel Stadium,34961.0,,12
Western Bulldogs,Carlton Blues,2022,2,2022-03-24,L,H,Marvel Stadium,34961.0,,-12
Geelong Cats,Sydney Swans,2022,2,2022-03-25,L,A,Sydney Cricket Ground,36578.0,,-30
Sydney Swans,Geelong Cats,2022,2,2022-03-25,W,H,Sydney Cricket Ground,36578.0,,30
Adelaide Crows,Collingwood Magpies,2022,2,2022-03-26,L,A,Melbourne Cricket Ground,36843.0,,-42
Brisbane Lions,Essendon Bombers,2022,2,2022-03-26,W,A,Marvel Stadium,30631.0,,22
Collingwood Magpies,Adelaide Crows,2022,2,2022-03-26,W,H,Melbourne Cricket Ground,36843.0,,42
Essendon Bombers,Brisbane Lions,2022,2,2022-03-26,L,H,Marvel Stadium,30631.0,,-22
Gold Coast Suns,Melbourne Demons,2022,2,2022-03-26,L,H,People First Stadium,8280.0,,-13
Hawthorn Hawks,Port Adelaide Power,2022,2,2022-03-26,W,A,Adelaide Oval,30267.0,,64
Melbourne Demons,Gold Coast Suns,2022,2,2022-03-26,W,A,People First Stadium,8280.0,,13
Port Adelaide Power,Hawthorn Hawks,2022,2,2022-03-26,L,H,Adelaide Oval,30267.0,,-64
Fremantle Dockers,St Kilda Saints,2022,2,2022-03-27,L,H,Optus Stadium,25284.0,,-10
Greater Western Sydney Giants,Richmond Tigers,2022,2,2022-03-27,L,A,Melbourne Cricket Ground,28813.0,,-36
North Melbourne Kangaroos,West Coast Eagles,2022,2,2022-03-27,W,H,Marvel Stadium,14204.0,,15
Richmond Tigers,Greater Western Sydney Giants,2022,2,2022-03-27,W,H,Melbourne Cricket Ground,28813.0,,36
St Kilda Saints,Fremantle Dockers,2022,2,2022-03-27,W,A,Optus Stadium,25284.0,,10
West Coast Eagles,North Melbourne Kangaroos,2022,2,2022-03-27,L,A,Marvel Stadium,14204.0,,-15
Sydney Swans,Western Bulldogs,2022,3,2022-03-31,L,A,Marvel Stadium,24327.0,,-11
Western Bulldogs,Sydney Swans,2022,3,2022-03-31,W,H,Marvel Stadium,24327.0,,11
Adelaide Crows,Port Adelaide Power,2022,3,2022-04-01,W,H,Adelaide Oval,39190.0,,4
Essendon Bombers,Melbourne Demons,2022,3,2022-04-01,L,A,Melbourne Cricket Ground,44503.0,,-29
Melbourne Demons,Essendon Bombers,2022,3,2022-04-01,W,H,Melbourne Cricket Ground,44503.0,,29
Port Adelaide Power,Adelaide Crows,2022,3,2022-04-01,L,A,Adelaide Oval,39190.0,,-4
Brisbane Lions,North Melbourne Kangaroos,2022,3,2022-04-02,W,H,The Gabba,19817.0,,108
Collingwood Magpies,Geelong Cats,2022,3,2022-04-02,L,H,Melbourne Cricket Ground,52974.0,,-13
Geelong Cats,Collingwood Magpies,2022,3,2022-04-02,W,A,Melbourne Cricket Ground,52974.0,,13
Gold Coast Suns,Greater Western Sydney Giants,2022,3,2022-04-02,L,A,ENGIE Stadium,4014.0,,-26
Greater Western Sydney Giants,Gold Coast Suns,2022,3,2022-04-02,W,H,ENGIE Stadium,4014.0,,26
North Melbourne Kangaroos,Brisbane Lions,2022,3,2022-04-02,L,A,The Gabba,19817.0,,-108
Carlton Blues,Hawthorn Hawks,2022,3,2022-04-03,W,H,Melbourne Cricket Ground,66317.0,,1
Fremantle Dockers,West Coast Eagles,2022,3,2022-04-03,W,A,Optus Stadium,38920.0,,55
Hawthorn Hawks,Carlton Blues,2022,3,2022-04-03,L,A,Melbourne Cricket Ground,66317.0,,-1
Richmond Tigers,St Kilda Saints,2022,3,2022-04-03,L,A,Marvel Stadium,31933.0,,-33
St Kilda Saints,Richmond Tigers,2022,3,2022-04-03,W,H,Marvel Stadium,31933.0,,33
West Coast Eagles,Fremantle Dockers,2022,3,2022-04-03,L,H,Optus Stadium,38920.0,,-55
Melbourne Demons,Port Adelaide Power,2022,4,2022-04-07,W,A,Adelaide Oval,23058.0,,32
Port Adelaide Power,Melbourne Demons,2022,4,2022-04-07,L,H,Adelaide Oval,23058.0,,-32
Brisbane Lions,Geelong Cats,2022,4,2022-04-08,L,A,GMHBA Stadium,20505.0,,-10
Geelong Cats,Brisbane Lions,2022,4,2022-04-08,W,H,GMHBA Stadium,20505.0,,10
Collingwood Magpies,West Coast Eagles,2022,4,2022-04-09,L,H,Marvel Stadium,25897.0,,-13
Fremantle Dockers,Greater Western Sydney Giants,2022,4,2022-04-09,W,H,Optus Stadium,30201.0,,34
Greater Western Sydney Giants,Fremantle Dockers,2022,4,2022-04-09,L,A,Optus Stadium,30201.0,,-34
North Melbourne Kangaroos,Sydney Swans,2022,4,2022-04-09,L,A,Sydney Cricket Ground,22307.0,,-11
Richmond Tigers,Western Bulldogs,2022,4,2022-04-09,W,H,Melbourne Cricket Ground,43645.0,,38
Sydney Swans,North Melbourne Kangaroos,2022,4,2022-04-09,W,H,Sydney Cricket Ground,22307.0,,11
West Coast Eagles,Collingwood Magpies,2022,4,2022-04-09,W,A,Marvel Stadium,25897.0,,13
Western Bulldogs,Richmond Tigers,2022,4,2022-04-09,L,A,Melbourne Cricket Ground,43645.0,,-38
Adelaide Crows,Essendon Bombers,2022,4,2022-04-10,L,A,Marvel Stadium,24906.0,,-4
Carlton Blues,Gold Coast Suns,2022,4,2022-04-10,L,A,People First Stadium,14349.0,,-30
Essendon Bombers,Adelaide Crows,2022,4,2022-04-10,W,H,Marvel Stadium,24906.0,,4
Gold Coast Suns,Carlton Blues,2022,4,2022-04-10,W,H,People First Stadium,14349.0,,30
Hawthorn Hawks,St Kilda Saints,2022,4,2022-04-10,L,H,Melbourne Cricket Ground,30926.0,,-69
St Kilda Saints,Hawthorn Hawks,2022,4,2022-04-10,W,A,Melbourne Cricket Ground,30926.0,,69
Brisbane Lions,Collingwood Magpies,2022,5,2022-04-14,W,H,The Gabba,32312.0,,7
Collingwood Magpies,Brisbane Lions,2022,5,2022-04-14,L,A,The Gabba,32312.0,,-7
North Melbourne Kangaroos,Western Bulldogs,2022,5,2022-04-15,L,H,Marvel Stadium,32162.0,,-68
Sydney Swans,West Coast Eagles,2022,5,2022-04-15,W,A,Optus Stadium,42888.0,,63
West Coast Eagles,Sydney Swans,2022,5,2022-04-15,L,H,Optus Stadium,42888.0,,-63
Western Bulldogs,North Melbourne Kangaroos,2022,5,2022-04-15,W,A,Marvel Stadium,32162.0,,68
Adelaide Crows,Richmond Tigers,2022,5,2022-04-16,W,H,Adelaide Oval,33031.0,,19
Gold Coast Suns,St Kilda Saints,2022,5,2022-04-16,L,A,Marvel Stadium,18724.0,,-26
Greater Western Sydney Giants,Melbourne Demons,2022,5,2022-04-16,L,A,Melbourne Cricket Ground,20791.0,,-67
Melbourne Demons,Greater Western Sydney Giants,2022,5,2022-04-16,W,H,Melbourne Cricket Ground,20791.0,,67
Richmond Tigers,Adelaide Crows,2022,5,2022-04-16,L,A,Adelaide Oval,33031.0,,-19
St Kilda Saints,Gold Coast Suns,2022,5,2022-04-16,W,H,Marvel Stadium,18724.0,,26
Carlton Blues,Port Adelaide Power,2022,5,2022-04-17,W,H,Melbourne Cricket Ground,33433.0,,3
Essendon Bombers,Fremantle Dockers,2022,5,2022-04-17,L,H,Marvel Stadium,23935.0,,-48
Fremantle Dockers,Essendon Bombers,2022,5,2022-04-17,W,A,Marvel Stadium,23935.0,,48
Port Adelaide Power,Carlton Blues,2022,5,2022-04-17,L,A,Melbourne Cricket Ground,33433.0,,-3
Geelong Cats,Hawthorn Hawks,2022,5,2022-04-18,L,A,Melbourne Cricket Ground,48030.0,,-12
Hawthorn Hawks,Geelong Cats,2022,5,2022-04-18,W,H,Melbourne Cricket Ground,48030.0,,12
Greater Western Sydney Giants,St Kilda Saints,2022,6,2022-04-22,L,H,Manuka Oval,11207.0,,-17
St Kilda Saints,Greater Western Sydney Giants,2022,6,2022-04-22,W,A,Manuka Oval,11207.0,,17
Adelaide Crows,Western Bulldogs,2022,6,2022-04-23,W,A,Mars Stadium,10412.0,,1
Carlton Blues,Fremantle Dockers,2022,6,2022-04-23,L,A,Optus Stadium,42302.0,,-35
Fremantle Dockers,Carlton Blues,2022,6,2022-04-23,W,H,Optus Stadium,42302.0,,35
Port Adelaide Power,West Coast Eagles,2022,6,2022-04-23,W,H,Adelaide Oval,28587.0,,84
West Coast Eagles,Port Adelaide Power,2022,6,2022-04-23,L,A,Adelaide Oval,28587.0,,-84
Western Bulldogs,Adelaide Crows,2022,6,2022-04-23,L,H,Mars Stadium,10412.0,,-1
Brisbane Lions,Gold Coast Suns,2022,6,2022-04-24,W,A,People First Stadium,14897.0,,52
Geelong Cats,North Melbourne Kangaroos,2022,6,2022-04-24,W,A,Ninja Stadium,8663.0,,60
Gold Coast Suns,Brisbane Lions,2022,6,2022-04-24,L,H,People First Stadium,14897.0,,-52
Melbourne Demons,Richmond Tigers,2022,6,2022-04-24,W,A,Melbourne Cricket Ground,70334.0,,22
North Melbourne Kangaroos,Geelong Cats,2022,6,2022-04-24,L,H,Ninja Stadium,8663.0,,-60
Richmond Tigers,Melbourne Demons,2022,6,2022-04-24,L,H,Melbourne Cricket Ground,70334.0,,-22
Collingwood Magpies,Essendon Bombers,2022,6,2022-04-25,W,A,Melbourne Cricket Ground,84205.0,,11
Essendon Bombers,Collingwood Magpies,2022,6,2022-04-25,L,H,Melbourne Cricket Ground,84205.0,,-11
Hawthorn Hawks,Sydney Swans,2022,6,2022-04-25,L,H,UTAS Stadium,14107.0,,-41
Sydney Swans,Hawthorn Hawks,2022,6,2022-04-25,W,A,UTAS Stadium,14107.0,,41
Richmond Tigers,West Coast Eagles,2022,7,2022-04-29,W,A,Optus Stadium,39430.0,,109
West Coast Eagles,Richmond Tigers,2022,7,2022-04-29,L,H,Optus Stadium,39430.0,,-109
Adelaide Crows,Greater Western Sydney Giants,2022,7,2022-04-30,L,H,Adelaide Oval,31811.0,,-59
Carlton Blues,North Melbourne Kangaroos,2022,7,2022-04-30,W,H,Marvel Stadium,40129.0,,50
Fremantle Dockers,Geelong Cats,2022,7,2022-04-30,W,A,GMHBA Stadium,20136.0,,3
Geelong Cats,Fremantle Dockers,2022,7,2022-04-30,L,H,GMHBA Stadium,20136.0,,-3
Greater Western Sydney Giants,Adelaide Crows,2022,7,2022-04-30,W,A,Adelaide Oval,31811.0,,59
Hawthorn Hawks,Melbourne Demons,2022,7,2022-04-30,L,A,Melbourne Cricket Ground,39425.0,,-10
Melbourne Demons,Hawthorn Hawks,2022,7,2022-04-30,W,H,Melbourne Cricket Ground,39425.0,,10
North Melbourne Kangaroos,Carlton Blues,2022,7,2022-04-30,L,A,Marvel Stadium,40129.0,,-50
Port Adelaide Power,St Kilda Saints,2022,7,2022-04-30,W,A,Cazaly's Stadium,6645.0,,1
St Kilda Saints,Port Adelaide Power,2022,7,2022-04-30,L,H,Cazaly's Stadium,6645.0,,-1
Brisbane Lions,Sydney Swans,2022,7,2022-05-01,W,A,Sydney Cricket Ground,30110.0,,24
Collingwood Magpies,Gold Coast Suns,2022,7,2022-05-01,W,H,Melbourne Cricket Ground,28916.0,,25
Essendon Bombers,Western Bulldogs,2022,7,2022-05-01,L,A,Marvel Stadium,33677.0,,-32
Gold Coast Suns,Collingwood Magpies,2022,7,2022-05-01,L,A,Melbourne Cricket Ground,28916.0,,-25
Sydney Swans,Brisbane Lions,2022,7,2022-05-01,L,H,Sydney Cricket Ground,30110.0,,-24
Western Bulldogs,Essendon Bombers,2022,7,2022-05-01,W,H,Marvel Stadium,33677.0,,32
Fremantle Dockers,North Melbourne Kangaroos,2022,8,2022-05-06,W,H,Optus Stadium,37040.0,,78
North Melbourne Kangaroos,Fremantle Dockers,2022,8,2022-05-06,L,A,Optus Stadium,37040.0,,-78
Port Adelaide Power,Western Bulldogs,2022,8,2022-05-06,W,H,Adelaide Oval,29290.0,,17
Western Bulldogs,Port Adelaide Power,2022,8,2022-05-06,L,A,Adelaide Oval,29290.0,,-17
Brisbane Lions,West Coast Eagles,2022,8,2022-05-07,W,H,The Gabba,19331.0,,75
Collingwood Magpies,Richmond Tigers,2022,8,2022-05-07,L,A,Melbourne Cricket Ground,64481.0,,-27
Essendon Bombers,Hawthorn Hawks,2022,8,2022-05-07,W,H,Marvel Stadium,33042.0,,27
Geelong Cats,Greater Western Sydney Giants,2022,8,2022-05-07,W,A,Manuka Oval,11661.0,,53
Gold Coast Suns,Sydney Swans,2022,8,2022-05-07,W,A,Sydney Cricket Ground,20420.0,,14
Greater Western Sydney Giants,Geelong Cats,2022,8,2022-05-07,L,H,Manuka Oval,11661.0,,-53
Hawthorn Hawks,Essendon Bombers,2022,8,2022-05-07,L,A,Marvel Stadium,33042.0,,-27
Richmond Tigers,Collingwood Magpies,2022,8,2022-05-07,W,H,Melbourne Cricket Ground,64481.0,,27
Sydney Swans,Gold Coast Suns,2022,8,2022-05-07,L,H,Sydney Cricket Ground,20420.0,,-14
West Coast Eagles,Brisbane Lions,2022,8,2022-05-07,L,A,The Gabba,19331.0,,-75
Adelaide Crows,Carlton Blues,2022,8,2022-05-08,L,A,Marvel Stadium,25376.0,,-48
Carlton Blues,Adelaide Crows,2022,8,2022-05-08,W,H,Marvel Stadium,25376.0,,48
Melbourne Demons,St Kilda Saints,2022,8,2022-05-08,W,H,Melbourne Cricket Ground,35767.0,,38
St Kilda Saints,Melbourne Demons,2022,8,2022-05-08,L,A,Melbourne Cricket Ground,35767.0,,-38
Collingwood Magpies,Western Bulldogs,2022,9,2022-05-13,L,H,Marvel Stadium,44029.0,,-48
Western Bulldogs,Collingwood Magpies,2022,9,2022-05-13,W,A,Marvel Stadium,44029.0,,48
Adelaide Crows,Brisbane Lions,2022,9,2022-05-14,L,H,Adelaide Oval,36579.0,,-36
Brisbane Lions,Adelaide Crows,2022,9,2022-05-14,W,A,Adelaide Oval,36579.0,,36
Essendon Bombers,Sydney Swans,2022,9,2022-05-14,L,A,Sydney Cricket Ground,27464.0,,-58
Geelong Cats,St Kilda Saints,2022,9,2022-05-14,L,A,Marvel Stadium,32517.0,,-10
Hawthorn Hawks,Richmond Tigers,2022,9,2022-05-14,L,H,Melbourne Cricket Ground,40663.0,,-23
North Melbourne Kangaroos,Port Adelaide Power,2022,9,2022-05-14,L,H,Ninja Stadium,5114.0,,-69
Port Adelaide Power,North Melbourne Kangaroos,2022,9,2022-05-14,W,A,Ninja Stadium,5114.0,,69
Richmond Tigers,Hawthorn Hawks,2022,9,2022-05-14,W,A,Melbourne Cricket Ground,40663.0,,23
St Kilda Saints,Geelong Cats,2022,9,2022-05-14,W,H,Marvel Stadium,32517.0,,10
Sydney Swans,Essendon Bombers,2022,9,2022-05-14,W,H,Sydney Cricket Ground,27464.0,,58
Carlton Blues,Greater Western Sydney Giants,2022,9,2022-05-15,W,A,ENGIE Stadium,8754.0,,30
Fremantle Dockers,Gold Coast Suns,2022,9,2022-05-15,L,A,People First Stadium,6136.0,,-36
Gold Coast Suns,Fremantle Dockers,2022,9,2022-05-15,W,H,People First Stadium,6136.0,,36
Greater Western Sydney Giants,Carlton Blues,2022,9,2022-05-15,L,H,ENGIE Stadium,8754.0,,-30
Melbourne Demons,West Coast Eagles,2022,9,2022-05-15,W,A,Optus Stadium,27488.0,,74
West Coast Eagles,Melbourne Demons,2022,9,2022-05-15,L,H,Optus Stadium,27488.0,,-74
Carlton Blues,Sydney Swans,2022,10,2022-05-20,W,H,Marvel Stadium,44769.0,,15
Sydney Swans,Carlton Blues,2022,10,2022-05-20,L,A,Marvel Stadium,44769.0,,-15
Adelaide Crows,St Kilda Saints,2022,10,2022-05-21,L,H,Adelaide Oval,28783.0,,-21
Essendon Bombers,Richmond Tigers,2022,10,2022-05-21,L,A,Melbourne Cricket Ground,70226.0,,-32
Geelong Cats,Port Adelaide Power,2022,10,2022-05-21,W,H,GMHBA Stadium,18721.0,,35
Gold Coast Suns,Western Bulldogs,2022,10,2022-05-21,L,A,Mars Stadium,6040.0,,-19
Melbourne Demons,North Melbourne Kangaroos,2022,10,2022-05-21,W,A,Marvel Stadium,13422.0,,47
North Melbourne Kangaroos,Melbourne Demons,2022,10,2022-05-21,L,H,Marvel Stadium,13422.0,,-47
Port Adelaide Power,Geelong Cats,2022,10,2022-05-21,L,A,GMHBA Stadium,18721.0,,-35
Richmond Tigers,Essendon Bombers,2022,10,2022-05-21,W,H,Melbourne Cricket Ground,70226.0,,32
St Kilda Saints,Adelaide Crows,2022,10,2022-05-21,W,A,Adelaide Oval,28783.0,,21
Western Bulldogs,Gold Coast Suns,2022,10,2022-05-21,W,H,Mars Stadium,6040.0,,19
Brisbane Lions,Hawthorn Hawks,2022,10,2022-05-22,L,A,UTAS Stadium,12007.0,,-5
Collingwood Magpies,Fremantle Dockers,2022,10,2022-05-22,W,A,Optus Stadium,35534.0,,36
Fremantle Dockers,Collingwood Magpies,2022,10,2022-05-22,L,H,Optus Stadium,35534.0,,-36
Greater Western Sydney Giants,West Coast Eagles,2022,10,2022-05-22,W,H,ENGIE Stadium,5057.0,,52
Hawthorn Hawks,Brisbane Lions,2022,10,2022-05-22,W,H,UTAS Stadium,12007.0,,5
West Coast Eagles,Greater Western Sydney Giants,2022,10,2022-05-22,L,A,ENGIE Stadium,5057.0,,-52
Richmond Tigers,Sydney Swans,2022,11,2022-05-27,L,A,Sydney Cricket Ground,31387.0,,-6
Sydney Swans,Richmond Tigers,2022,11,2022-05-27,W,H,Sydney Cricket Ground,31387.0,,6
Adelaide Crows,Geelong Cats,2022,11,2022-05-28,L,A,GMHBA Stadium,19051.0,,-42
Brisbane Lions,Greater Western Sydney Giants,2022,11,2022-05-28,W,H,The Gabba,22068.0,,14
Fremantle Dockers,Melbourne Demons,2022,11,2022-05-28,W,A,Melbourne Cricket Ground,29812.0,,38
Geelong Cats,Adelaide Crows,2022,11,2022-05-28,W,H,GMHBA Stadium,19051.0,,42
Gold Coast Suns,Hawthorn Hawks,2022,11,2022-05-28,W,H,TIO Stadium,7516.0,,67
Greater Western Sydney Giants,Brisbane Lions,2022,11,2022-05-28,L,A,The Gabba,22068.0,,-14
Hawthorn Hawks,Gold Coast Suns,2022,11,2022-05-28,L,A,TIO Stadium,7516.0,,-67
Melbourne Demons,Fremantle Dockers,2022,11,2022-05-28,L,H,Melbourne Cricket Ground,29812.0,,-38
West Coast Eagles,Western Bulldogs,2022,11,2022-05-28,L,H,Optus Stadium,31838.0,,-101
Western Bulldogs,West Coast Eagles,2022,11,2022-05-28,W,A,Optus Stadium,31838.0,,101
Carlton Blues,Collingwood Magpies,2022,11,2022-05-29,L,A,Melbourne Cricket Ground,80627.0,,-4
Collingwood Magpies,Carlton Blues,2022,11,2022-05-29,W,H,Melbourne Cricket Ground,80627.0,,4
Essendon Bombers,Port Adelaide Power,2022,11,2022-05-29,L,A,Adelaide Oval,25877.0,,-16
North Melbourne Kangaroos,St Kilda Saints,2022,11,2022-05-29,L,A,Marvel Stadium,23464.0,,-53
Port Adelaide Power,Essendon Bombers,2022,11,2022-05-29,W,H,Adelaide Oval,25877.0,,16
St Kilda Saints,North Melbourne Kangaroos,2022,11,2022-05-29,W,H,Marvel Stadium,23464.0,,53
Geelong Cats,Western Bulldogs,2022,12,2022-06-03,W,A,Marvel Stadium,34370.0,,13
Western Bulldogs,Geelong Cats,2022,12,2022-06-03,L,H,Marvel Stadium,34370.0,,-13
Adelaide Crows,West Coast Eagles,2022,12,2022-06-04,W,H,Adelaide Oval,22859.0,,31
Gold Coast Suns,North Melbourne Kangaroos,2022,12,2022-06-04,W,H,TIO Stadium,5523.0,,62
Melbourne Demons,Sydney Swans,2022,12,2022-06-04,L,H,Melbourne Cricket Ground,32753.0,,-12
North Melbourne Kangaroos,Gold Coast Suns,2022,12,2022-06-04,L,A,TIO Stadium,5523.0,,-62
Sydney Swans,Melbourne Demons,2022,12,2022-06-04,W,A,Melbourne Cricket Ground,32753.0,,12
West Coast Eagles,Adelaide Crows,2022,12,2022-06-04,L,A,Adelaide Oval,22859.0,,-31
Brisbane Lions,Fremantle Dockers,2022,12,2022-06-05,L,A,Optus Stadium,47214.0,,-14
Collingwood Magpies,Hawthorn Hawks,2022,12,2022-06-05,W,A,Melbourne Cricket Ground,43939.0,,4
Fremantle Dockers,Brisbane Lions,2022,12,2022-06-05,W,H,Optus Stadium,47214.0,,14
Hawthorn Hawks,Collingwood Magpies,2022,12,2022-06-05,L,H,Melbourne Cricket Ground,43939.0,,-4
Port Adelaide Power,Richmond Tigers,2022,13,2022-06-09,L,A,Melbourne Cricket Ground,21757.0,,-12
Richmond Tigers,Port Adelaide Power,2022,13,2022-06-09,W,H,Melbourne Cricket Ground,21757.0,,12
Carlton Blues,Essendon Bombers,2022,13,2022-06-10,W,A,Melbourne Cricket Ground,65440.0,,26
Essendon Bombers,Carlton Blues,2022,13,2022-06-10,L,H,Melbourne Cricket Ground,65440.0,,-26
Brisbane Lions,St Kilda Saints,2022,13,2022-06-11,W,H,The Gabba,26610.0,,21
Fremantle Dockers,Hawthorn Hawks,2022,13,2022-06-11,W,H,Optus Stadium,39428.0,,13
Hawthorn Hawks,Fremantle Dockers,2022,13,2022-06-11,L,A,Optus Stadium,39428.0,,-13
St Kilda Saints,Brisbane Lions,2022,13,2022-06-11,L,A,The Gabba,26610.0,,-21
Greater Western Sydney Giants,North Melbourne Kangaroos,2022,13,2022-06-12,W,A,Marvel Stadium,13742.0,,49
North Melbourne Kangaroos,Greater Western Sydney Giants,2022,13,2022-06-12,L,H,Marvel Stadium,13742.0,,-49
Collingwood Magpies,Melbourne Demons,2022,13,2022-06-13,W,H,Melbourne Cricket Ground,76059.0,,26
Melbourne Demons,Collingwood Magpies,2022,13,2022-06-13,L,A,Melbourne Cricket Ground,76059.0,,-26
Carlton Blues,Richmond Tigers,2022,14,2022-06-16,L,A,Melbourne Cricket Ground,50741.0,,-15
Richmond Tigers,Carlton Blues,2022,14,2022-06-16,W,H,Melbourne Cricket Ground,50741.0,,15
Essendon Bombers,St Kilda Saints,2022,14,2022-06-17,W,A,Marvel Stadium,33274.0,,35
St Kilda Saints,Essendon Bombers,2022,14,2022-06-17,L,H,Marvel Stadium,33274.0,,-35
Geelong Cats,West Coast Eagles,2022,14,2022-06-18,W,A,Optus Stadium,32526.0,,18
Greater Western Sydney Giants,Western Bulldogs,2022,14,2022-06-18,L,H,ENGIE Stadium,6208.0,,-20
Port Adelaide Power,Sydney Swans,2022,14,2022-06-18,W,H,Adelaide Oval,30445.0,,23
Sydney Swans,Port Adelaide Power,2022,14,2022-06-18,L,A,Adelaide Oval,30445.0,,-23
West Coast Eagles,Geelong Cats,2022,14,2022-06-18,L,H,Optus Stadium,32526.0,,-18
Western Bulldogs,Greater Western Sydney Giants,2022,14,2022-06-18,W,A,ENGIE Stadium,6208.0,,20
Adelaide Crows,Gold Coast Suns,2022,14,2022-06-19,L,A,People First Stadium,10507.0,,-43
Gold Coast Suns,Adelaide Crows,2022,14,2022-06-19,W,H,People First Stadium,10507.0,,43
Brisbane Lions,Melbourne Demons,2022,15,2022-06-23,L,A,Melbourne Cricket Ground,37728.0,,-64
Melbourne Demons,Brisbane Lions,2022,15,2022-06-23,W,H,Melbourne Cricket Ground,37728.0,,64
Essendon Bombers,West Coast Eagles,2022,15,2022-06-24,L,A,Optus Stadium,40933.0,,-10
Hawthorn Hawks,Western Bulldogs,2022,15,2022-06-24,L,A,Marvel Stadium,32505.0,,-42
West Coast Eagles,Essendon Bombers,2022,15,2022-06-24,W,H,Optus Stadium,40933.0,,10
Western Bulldogs,Hawthorn Hawks,2022,15,2022-06-24,W,H,Marvel Stadium,32505.0,,42
Carlton Blues,Fremantle Dockers,2022,15,2022-06-25,W,H,Marvel Stadium,35441.0,,31
Fremantle Dockers,Carlton Blues,2022,15,2022-06-25,L,A,Marvel Stadium,35441.0,,-31
Geelong Cats,Richmond Tigers,2022,15,2022-06-25,W,H,Melbourne Cricket Ground,59335.0,,3
Richmond Tigers,Geelong Cats,2022,15,2022-06-25,L,A,Melbourne Cricket Ground,59335.0,,-3
St Kilda Saints,Sydney Swans,2022,15,2022-06-25,L,A,Sydney Cricket Ground,31513.0,,-51
Sydney Swans,St Kilda Saints,2022,15,2022-06-25,W,H,Sydney Cricket Ground,31513.0,,51
Adelaide Crows,North Melbourne Kangaroos,2022,15,2022-06-26,W,A,Ninja Stadium,5072.0,,57
Collingwood Magpies,Greater Western Sydney Giants,2022,15,2022-06-26,W,H,Melbourne Cricket Ground,30804.0,,11
Gold Coast Suns,Port Adelaide Power,2022,15,2022-06-26,L,A,Adelaide Oval,26241.0,,-2
Greater Western Sydney Giants,Collingwood Magpies,2022,15,2022-06-26,L,A,Melbourne Cricket Ground,30804.0,,-11
North Melbourne Kangaroos,Adelaide Crows,2022,15,2022-06-26,L,H,Ninja Stadium,5072.0,,-57
Port Adelaide Power,Gold Coast Suns,2022,15,2022-06-26,W,H,Adelaide Oval,26241.0,,2
Brisbane Lions,Western Bulldogs,2022,16,2022-06-30,W,H,The Gabba,25011.0,,41
Western Bulldogs,Brisbane Lions,2022,16,2022-06-30,L,A,The Gabba,25011.0,,-41
Carlton Blues,St Kilda Saints,2022,16,2022-07-01,L,H,Marvel Stadium,43194.0,,-15
St Kilda Saints,Carlton Blues,2022,16,2022-07-01,W,A,Marvel Stadium,43194.0,,15
Adelaide Crows,Melbourne Demons,2022,16,2022-07-02,L,H,Adelaide Oval,30702.0,,-29
Collingwood Magpies,Gold Coast Suns,2022,16,2022-07-02,W,A,People First Stadium,16027.0,,5
Essendon Bombers,Sydney Swans,2022,16,2022-07-02,W,H,Melbourne Cricket Ground,43163.0,,9
Geelong Cats,North Melbourne Kangaroos,2022,16,2022-07-02,W,H,GMHBA Stadium,18091.0,,112
Gold Coast Suns,Collingwood Magpies,2022,16,2022-07-02,L,H,People First Stadium,16027.0,,-5
Melbourne Demons,Adelaide Crows,2022,16,2022-07-02,W,A,Adelaide Oval,30702.0,,29
North Melbourne Kangaroos,Geelong Cats,2022,16,2022-07-02,L,A,GMHBA Stadium,18091.0,,-112
Sydney Swans,Essendon Bombers,2022,16,2022-07-02,L,A,Melbourne Cricket Ground,43163.0,,-9
Fremantle Dockers,Port Adelaide Power,2022,16,2022-07-03,W,H,Optus Stadium,41326.0,,8
Greater Western Sydney Giants,Hawthorn Hawks,2022,16,2022-07-03,W,H,ENGIE Stadium,4812.0,,22
Hawthorn Hawks,Greater Western Sydney Giants,2022,16,2022-07-03,L,A,ENGIE Stadium,4812.0,,-22
Port Adelaide Power,Fremantle Dockers,2022,16,2022-07-03,L,A,Optus Stadium,41326.0,,-8
Richmond Tigers,West Coast Eagles,2022,16,2022-07-03,W,H,Melbourne Cricket Ground,39391.0,,35
West Coast Eagles,Richmond Tigers,2022,16,2022-07-03,L,A,Melbourne Cricket Ground,39391.0,,-35
Geelong Cats,Melbourne Demons,2022,17,2022-07-07,W,H,GMHBA Stadium,21501.0,,28
Melbourne Demons,Geelong Cats,2022,17,2022-07-07,L,A,GMHBA Stadium,21501.0,,-28
Sydney Swans,Western Bulldogs,2022,17,2022-07-08,W,H,Sydney Cricket Ground,22226.0,,53
Western Bulldogs,Sydney Swans,2022,17,2022-07-08,L,A,Sydney Cricket Ground,22226.0,,-53
Collingwood Magpies,North Melbourne Kangaroos,2022,17,2022-07-09,W,H,Melbourne Cricket Ground,45039.0,,7
Fremantle Dockers,St Kilda Saints,2022,17,2022-07-09,W,A,Marvel Stadium,21652.0,,41
Gold Coast Suns,Richmond Tigers,2022,17,2022-07-09,W,H,People First Stadium,18031.0,,2
